# wavelength [micron], transit depth, error on transit depth 
2.4572   2.0687   0.0036
2.472   2.0602   0.0038
2.4873   2.0279   0.0038
2.5021   2.0402   0.0036
2.517   2.0696   0.0038
2.5323   2.0934   0.0038
2.5472   2.0748   0.0036
2.5621   2.0875   0.00385
2.5769   2.0953   0.0036
2.5918   2.0679   0.00385
2.6072   2.0864   0.00385
2.6221   2.0909   0.0036
2.637   2.0831   0.00385
2.6519   2.0944   0.0036
2.6668   2.1148   0.00385
2.6822   2.1206   0.00385
2.6971   2.126   0.00365
2.7121   2.1037   0.00385
2.727   2.1259   0.00365
2.742   2.1081   0.00385
2.7569   2.1014   0.00365
2.7719   2.1115   0.00385
2.7868   2.09   0.00365
2.8018   2.0903   0.00385
2.8172   2.12   0.00385
2.8322   2.0886   0.00365
2.8472   2.1073   0.00385
2.8622   2.0969   0.00365
2.8772   2.082   0.00385
2.8922   2.0873   0.00365
2.9072   2.0651   0.00385
2.9222   2.0799   0.00365
2.9372   2.093   0.00385
2.9523   2.0816   0.00365
2.9668   2.0785   0.00365
2.9818   2.0847   0.00385
2.9969   2.0541   0.00365
3.0119   2.0809   0.00385
3.0269   2.0679   0.00365
3.042   2.0743   0.00385
3.057   2.0722   0.00365
3.0721   2.0766   0.0039
3.0872   2.0617   0.00365
3.1017   2.0808   0.00365
3.1168   2.0515   0.0039
3.1319   2.0517   0.00365
3.147   2.0764   0.0039
3.1621   2.0505   0.00365
3.1771   2.0514   0.0039
3.1922   2.0279   0.00365
3.2068   2.054   0.00365
3.2219   2.0405   0.0039
3.2371   2.0598   0.00365
3.2522   2.048   0.0039
3.2673   2.0502   0.00365
3.2819   2.051   0.00365
3.297   2.0551   0.0039
3.3121   2.0531   0.00365
3.3268   2.0698   0.00365
3.3419   2.0547   0.0039
3.357   2.0633   0.00365
3.3722   2.0409   0.0039
3.3873   2.041   0.00365
3.402   2.0374   0.00365
3.4171   2.0392   0.0039
3.4322   2.0321   0.00365
3.4469   2.038   0.00365
3.4621   2.0506   0.0039
3.4772   2.0404   0.00365
3.4919   2.0352   0.00365
3.507   2.0225   0.0039
3.5222   2.0301   0.00365
3.5369   2.0423   0.00365
3.552   2.0217   0.0039
3.5672   2.0184   0.00365
3.5819   2.0162   0.00365
3.5971   2.0255   0.0039
3.6122   2.0397   0.00365
3.6269   2.0326   0.00365
3.6421   2.0219   0.0039
3.6573   2.0275   0.00365
3.672   2.0329   0.00365
3.6867   2.0277   0.00365
3.7019   2.0302   0.0039
3.7171   2.0149   0.00365
3.7318   2.0494   0.00365
3.747   2.0202   0.0039
3.7622   2.0225   0.00365
3.7769   2.0203   0.00365
3.7921   2.0151   0.0039
3.8073   2.0137   0.00365
3.822   2.0103   0.00365
3.8367   2.0264   0.00365
3.8519   2.0132   0.0039
3.8671   2.0373   0.00365
3.8818   2.0228   0.00365
3.897   2.0259   0.0039
3.9122   2.0218   0.00365
3.9269   2.0386   0.00365
3.9421   2.0265   0.0039
